coin,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at
bitcoin,42848.0,813666137781.5507,26612719565.76023,4.734277663111429,1647928243
ethereum,3014.68,361963563786.3001,17187350891.644474,5.369480295217914,1647928252
litecoin,120.43,8417459511.303304,785764496.9931538,5.079261746431457,1647928126
